freeResponses,Code,,,# 1 = emotion,# 2 = upstream cause of emotion,# 3 = non-emotion mental state (e.g. belief),"# 4 = physical state (e.g. tiredness, pain)","# 5 = enabling factor (e.g. was in dance class), or cause of non-emotion desire"
he was upset,,,,1,,,,
he was sad,,,,1,,,,
his dog died,,,,,1,,,
he lost his mother,,,,,1,,,
he stub his big toe,,,,,,,1,
george killed himself,,,,,,,,1
the movie was sad,,,,1,,,,
he felt hurtn,,,,1,,,,
he was sad,,,,1,,,,
he was sad,,,,1,,,,
of a song that brings back memories,,,,,1,,,
his wife left him,,,,,1,,,
his cat died,,,,,1,,,
he was sad,,,,1,,,,
her mom died,,,,,1,,,
he was sad,,,,1,,,,
his father died,,,,,1,,,
his cat died,,,,,1,,,
sad,,,,1,,,,
his mom died,,,,,1,,,
he was sad,,,,1,,,,
he was sad,,,,1,,,,
she missed him so much,,,,1,,,,
he was hurt,,,,1,,,,
he was sad,,,,1,,,,
he was sad,,,,1,,,,
of these damn onions,,,,,,,,1
he just finished reading a sad book,,,,,1,,,
his grandmother died,,,,,1,,,
he was sad,,,,1,,,,
his mom passed away,,,,,1,,,
he was upset,,,,1,,,,
he lose his dog,,,,,1,,,
he was sad,,,,1,,,,
he could not be consoled,,,,,1,,,
his mother died,,,,,1,,,
he was sad,,,,1,,,,
his dog died,,,,,1,,,
because he was sad,,,,1,,,,
he was sad he lost a friend,,,,1,,,,
he was sad,,,,1,,,,
someone died,,,,,1,,,
he wife asked for a divorce,,,,,1,,,
his dog had passed away,,,,,1,,,
he lost his dog,,,,,1,,,
he was sad,,,,1,,,,
he watched a sad movie,,,,,1,,,
he was sad,,,,1,,,,
he was sad,,,,1,,,,
he was sad,,,,1,,,,
his mom was sick,,,,,1,,,
he watched a sad scene in a movie,,,,,1,,,
his knees hurt,,,,,,,1,
his wife left him,,,,,1,,,
he was a glass case of emotions,,,,1,,,,
hes a wuss,,,,,,,1,
his wife died,,,,,1,,,
he felt sad,,,,1,,,,
he was sad,,,,1,,,,
his mother died,,,,,1,,,
his dog died,,,,,1,,,
he was sad,,,,1,,,,
he found out that his father had passed away,,,,,1,,,
his dog died,,,,,1,,,
his girlfriend left him,,,,,1,,,
he lost his pudding,,,,,1,,,
because he was sad,,,,1,,,,
he watched a heartbreaking movie,,,,,1,,,
his pet died,,,,,1,,,
he was sad,,,,1,,,,
his father was ill,,,,,1,,,
his girlfriend dumped him,,,,,1,,,
his dad died,,,,,1,,,
he was sad,,,,1,,,,
he heard some bad news,,,,,1,,,
his pet dog died,,,,,1,,,
nothing was going his way,,,,,,,,1
he missed his parents,,,,,1,,,
his mom died,,,,,1,,,
was a wimp,,,,,,,,1
he was sad,,,,1,,,,
he was sad,,,,1,,,,
he stubbed his toe,,,,,,,1,
her dog had to be put down,,,,,1,,,
he was sad,,,,1,,,,
the pain couldnt be alleviated any other way,,,,,,,,1
he was in pain,,,,,,,1,
the movie was sad,,,,1,,,,
his mind was cluttered,,,,,,,,1
life is sad sometimes,,,,,1,,,
he was sad,,,,1,,,,
he was sad,,,,1,,,,
hewas sad,,,,1,,,,
his grandmother passed away,,,,,1,,,
his sister had cancer,,,,,1,,,
he was stressed about his failing grades,,,,,,1,,
his only son had died,,,,,1,,,
he was hurt,,,,1,,,,
he was sad,,,,1,,,,
he was sad,,,,1,,,,
he was happy,,,,1,,,,
he was in a good mood,,,,1,,,,
he heard good news,,,,,1,,,
his wife had on a new dress,,,,,1,,,
he just got a girls number,,,,,1,,,
he noticed a pretty woman smiling at him,,,,,1,,,
he got what he wanted,,,,,1,,,
he was happy,,,,1,,,,
he was happy,,,,1,,,,
he was happy,,,,1,,,,
he read a text from his wife,,,,,1,,,
he was happy,,,,1,,,,
he had some mms,,,,,1,,,
he was interested,,,,1,,,,
his girlfriend loved him,,,,,1,,,
he was happy,,,,1,,,,
he saw a pretty girl,,,,,1,,,
he was happy,,,,1,,,,
happy,,,,1,,,,
he won the prize,,,,,1,,,
he finished the race,,,,,1,,,
he saw something funny,,,,,,,,1
he felt happy,,,,1,,,,
he was happy,,,,1,,,,
he was happy,,,,1,,,,
mike laughed at his joke,,,,,,1,,
the light stayed green,,,,,,,,1
he was pleased to hear that his boyfriend was happy with his gift,,,,,1,,,
he met his wife for lunch,,,,,1,,,
he was happy,,,,1,,,,
his baby daughter made him happy,,,,1,,,,
he was happy,,,,1,,,,
he received a nice text,,,,,1,,,
he was in love,,,,1,,,,
he felt good inside,,,,1,,,,
he was getting an awesome blowjob,,,,,1,,,
he was happy,,,,1,,,,
he received a promotion at work,,,,,1,,,
he got a good grade,,,,,1,,,
his date looked beautiful,,,,,1,,,
he was happy,,,,1,,,,
he got a phone call he didnt expect,,,,,,,,1
his wife show him her underwear,,,,,1,,,
he saw someone he loved,,,,,1,,,
he received a compliment,,,,,1,,,
he was happy,,,,1,,,,
he was happy,,,,1,,,,
he was happy,,,,1,,,,
he was happy,,,,1,,,,
he liked what happened,,,,,,1,,
he thought of a happy memory,,,,,1,,,
he received a nice text message,,,,,1,,,
god had changed his name to israel,,,,,,,,1
he was happy to see his girlfriend,,,,1,,,,
he was happy,,,,1,,,,
he was happy,,,,1,,,,
someone made him happy,,,,1,,,,
he was amused,,,,1,,,,
he was happy,,,,1,,,,
he saw his lovely wife,,,,,1,,,
he was happy,,,,1,,,,
he was happy,,,,1,,,,
of the news,,,,,,1,,
he thought of his mother,,,,,,1,,
he had a great day,,,,,1,,,
he was with his lover,,,,,1,,,
because he was happy,,,,1,,,,
he saw a cute puppy,,,,,1,,,
he won,,,,,1,,,
he was happy,,,,1,,,,
he had missed her face,,,,,1,,,
he saw a funny picture online,,,,,1,,,
he was happy,,,,1,,,,
he was happy,,,,1,,,,
he was happy,,,,1,,,,
he was happy,,,,1,,,,
his girlfriend said yes,,,,,1,,,
he saw his crush,,,,,1,,,
his friend fell down,,,,,,,,1
he realized he was going to score really high on the exam,,,,,1,,,
he finally got to bust a nut,,,,,1,,,
it was polite,,,,,,1,,
his son brought him a gift,,,,,1,,,
he was happy,,,,1,,,,
he was happy,,,,1,,,,
because he has the cutest kids on the block,,,,,,1,,
he thought of someone he loved,,,,,1,,,
he was pleased,,,,1,,,,
he won the race,,,,,1,,,
he farted and blamed someone else and they believed him,,,,,1,,,
he was happy,,,,1,,,,
he was happy,,,,1,,,,
he was happy,,,,1,,,,
the stranger said hello,,,,,1,,,
his girlfriend surprised him at work,,,,,1,,,
he received a compliment,,,,,1,,,
she was happy,,,,1,,,,
he was pleased,,,,1,,,,
it was a beautiful day,,,,,,,,1
he was happy,,,,1,,,,
he was upset,,,,1,,,,
he was angry,,,,1,,,,
someone cut him off in traffic,,,,,,,,1
his dog ran away,,,,,1,,,
he was angry,,,,1,,,,
scott hasnt learned to use an indoor voice,,,,,,,,1
he was frustrated,,,,1,,,,
he was madnhe was mad,,,,1,,,,
he was angry,,,,1,,,,
he was mad,,,,1,,,,
he was asked to,,,,,,,,1
he was angry,,,,1,,,,
he was a rebel,,,,,,,,1
he was afraid,,,,1,,,,
he was irritated,,,,1,,,,
he was upset,,,,1,,,,
his dog got loose,,,,,1,,,
his favorite team won,,,,,1,,,
frustrated,,,,1,,,,
his team won,,,,,1,,,
he was angry,,,,1,,,,
he was mad,,,,1,,,,
no one could hear him,,,,,,,,1
he was mad,,,,1,,,,
he was angry,,,,1,,,,
he stubbed his toe,,,,,,,1,
the fan was too loud,,,,,,,,1
he was angry about his bills,,,,1,,,,
his daughter wouldnt clean up her room,,,,,1,,,
he was mad,,,,1,,,,
he was late,,,,,,,,1
he was far away,,,,,,,,1
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he wanted to catch someones attention,,,,,,1,,
he was angry,,,,1,,,,
he was mad,,,,1,,,,
he lost his temper,,,,1,,,,
because he was mad,,,,1,,,,
he was angry with his boss,,,,1,,,,
he was calling the dog,,,,,,,,1
he was angry,,,,1,,,,
he was lost in the woods,,,,,,,,1
he was angry at his boss,,,,1,,,,
of the background noise,,,,,,,,1
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he was mad,,,,1,,,,
he was angry,,,,1,,,,
he was mad,,,,1,,,,
he was startled,,,,1,,,,
he was angry,,,,1,,,,
he was warning billy,,,,,,,,1
the next door neighbor was being too loud,,,,,,,,1
he was frustrated,,,,1,,,,
hes the boss,,,,,,,,1
he was angry,,,,1,,,,
he felt he wasnt heard,,,,,1,,,
he was angry,,,,1,,,,
his son had not taken out the trash,,,,,1,,,
he was mad,,,,1,,,,
he was angry,,,,1,,,,
he could not control himself anymore,,,,,1,,,
she was mad,,,,1,,,,
his dog is not listening to him,,,,,1,,,
his dog was running away,,,,,1,,,
the taxi didnt stop,,,,,,,,1
he was lost in the forest,,,,,,,,1
they were far,,,,,,,,1
he was startled,,,,1,,,,
he caught his girlfriend cheating,,,,,1,,,
his dog peed on the rug,,,,,1,,,
he was mad at sally,,,,1,,,,
he was angry,,,,1,,,,
he was upset,,,,1,,,,
he was mad,,,,1,,,,
he didnt think anyone would listen to him otherwise,,,,,,1,,
he was so mad at his parents,,,,1,,,,
he hit his thumb with the hammer,,,,,,,1,
he burnt his hand on the frying pan,,,,,,,1,
his cat jumped on him with her claws out,,,,,,,1,
his team messed up,,,,,1,,,
was frustratednwas frustrated,,,,1,,,,
they couldnt hear him,,,,,,,,1
he was unheard,,,,,,,,1
his team was winning,,,,,1,,,
he was angry,,,,1,,,,
the woman far away and couldnt hear him,,,,,,,,1
he failed his exam,,,,,1,,,
he was mad,,,,1,,,,
he needed help,,,,,,1,,
he was mad,,,,1,,,,
he was angry,,,,1,,,,
his friend was so far away,,,,,,,,1
his daughter ran into the road,,,,,,,,1
he was extremely frustrated,,,,1,,,,
he wanted the kids to come back to the house for dinner,,,,,,1,,
he was mad,,,,1,,,,
he saw his fried in another car,,,,,,,,1
john made him angry,,,,1,,,,
he was excited,,,,1,,,,
he was scared,,,,1,,,,
a loud sound frightened him,,,,1,,,,
there was a spider,,,,,1,,,
was dodging a car,,,,,,,,1
he is michael jordan and that is what michael jordan does,,,,,,,,1
he got startled,,,,1,,,,
he was startled,,,,1,,,,
something scared him,,,,1,,,,
he was excited,,,,1,,,,
he saw a doh,,,,,1,,,
he was depressed,,,,1,,,,
the pointer sisters told him to,,,,,,,,1
he was excited,,,,1,,,,
he wanted to,,,,,,1,,
he was excited,,,,1,,,,
he heard a loud sound,,,,,,,,1
he dunked,,,,,,,,1
crazy,,,,,,,,1
the mouse ran by,,,,,,,,1
he was scared,,,,1,,,,
he was happy,,,,1,,,,
he was full of joy,,,,1,,,,
he was filled with joy,,,,1,,,,
of the snake,,,,,,,,1
simon told him to,,,,,,,,1
his wife asked him to,,,,,,,,1
he was standing on a trampoline,,,,,,,,1
he was fed up with everything,,,,1,,,,
he was joyful,,,,1,,,,
he was startled,,,,1,,,,
he was scared,,,,1,,,,
he was training,,,,,,,,1
he was scared,,,,1,,,,
he wanted to avoid the alligator,,,,,,1,,
he won the lottery,,,,,1,,,
he was startled,,,,1,,,,
he had to get out of the way of the remote control car,,,,,,,,1
because he was mad,,,,1,,,,
a spider was crawling across the floor,,,,,,,,1
he was startled,,,,1,,,,
he was exuberant,,,,1,,,,
he was startled,,,,1,,,,
he was excited about his grade,,,,1,,,,
he heard a loud noise,,,,,,,,1
he was frightened,,,,1,,,,
he was joyful,,,,1,,,,
he was startled,,,,1,,,,
he had too,,,,,,1,,
he was scared,,,,1,,,,
he was scared,,,,1,,,,
he saw a snake on the ground,,,,,,,,1
the hurdle was in his lane,,,,,,,,1
he was exercising,,,,,,,1,
it was easier to make the shot,,,,,,1,,
he saw a mouse,,,,,,,,1
he was dancing,,,,,,,,1
he was startled,,,,1,,,,
he was happy,,,,1,,,,
he wanted to take a shot,,,,,,1,,
the snake surprised him,,,,,1,,,
he got scared,,,,1,,,,
of the loud noise,,,,,,,,1
a spider landed on his arm,,,,,,,,1
he couldnt step up above the rocks,,,,,,1,,
he was scared,,,,1,,,,
he was frightened,,,,1,,,,
he was on a trampoline,,,,,,,,1
he was jump roping,,,,,,,,1
he was scared,,,,1,,,,
he saw a spider,,,,,,,,1
there was a puddle on the street,,,,,,,,1
he had energy,,,,,,,1,
he was scared,,,,1,,,,
he saw a mouse,,,,,,,,1
there was a load sound,,,,,,,,1
he was startled,,,,1,,,,
he saw a rat run across the ground,,,,,,,,1
of the water puddle,,,,,,,,1
he saw a mouse,,,,,,,,1
he was excited,,,,1,,,,
he was on a trampoline,,,,,,,1,
was scared by his friend surprise,,,,1,,,,
the boat was sinking,,,,,,,,1
he was spooked,,,,1,,,,
the cat startled him,,,,1,,,,
he had to get past something on the ground that he didnt want to walk on,,,,,,,,1
the mouse startled him,,,,1,,,,
he wanted air,,,,,,,,1
he was listening to van halen,,,,,,,,1
he was happy,,,,1,,,,
he wanted to,,,,,,1,,
he was happy,,,,1,,,,
he saw a snake,,,,,,,,1
he saw a spider,,,,,,,,1
he was frightened,,,,1,,,,
he saw a snake in front of him,,,,,,,,1
he was startled,,,,1,,,,
