workerid,gender,nativeLanguage,exampleCounterfactual,emotionID.1,emotionID.2,emotionID.3,emotionID.4,emotionID.5,emotion.1,emotion.2,emotion.3,emotion.4,emotion.5,order.1,order.2,order.3,order.4,order.5,freeResponseHappy.1,freeResponseHappy.2,freeResponseHappy.3,freeResponseHappy.4,freeResponseHappy.5,freeResponseCalm.1,freeResponseCalm.2,freeResponseCalm.3,freeResponseCalm.4,freeResponseCalm.5,freeResponseSad.1,freeResponseSad.2,freeResponseSad.3,freeResponseSad.4,freeResponseSad.5,freeResponseAngry.1,freeResponseAngry.2,freeResponseAngry.3,freeResponseAngry.4,freeResponseAngry.5,freeResponseSurprised.1,freeResponseSurprised.2,freeResponseSurprised.3,freeResponseSurprised.4,freeResponseSurprised.5,counterfactualHappy.1,counterfactualHappy.2,counterfactualHappy.3,counterfactualHappy.4,counterfactualHappy.5,counterfactualCalm.1,counterfactualCalm.2,counterfactualCalm.3,counterfactualCalm.4,counterfactualCalm.5,counterfactualSad.1,counterfactualSad.2,counterfactualSad.3,counterfactualSad.4,counterfactualSad.5,counterfactualAngry.1,counterfactualAngry.2,counterfactualAngry.3,counterfactualAngry.4,counterfactualAngry.5,counterfactualSurprised.1,counterfactualSurprised.2,counterfactualSurprised.3,counterfactualSurprised.4,counterfactualSurprised.5,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,reactionTime.6,reactionTime.7,reactionTime.8,reactionTime.9,reactionTime.10
1,F,English,6,3,4,2,5,1,sad,angry,calm,surprised,happy,2,3,1,4,0,smiled,laughed,cried,yelled,jumped,slept,yawned,smiled,laughed,relaxed,cried,shook,sobbed,left,wept,yelled,shouted,scremed,stomped,left,yelled,shouted,jumped,hollered,laughed,2,2,5,5,5,5,5,6,6,6,5,3,2,5,4,3,3,2,2,2,5,5,5,5,5,18104,12517,15765,13843,11017,18801,16499,13248,8515,20366
2,F,English,1,3,5,2,1,4,sad,surprised,calm,happy,angry,2,4,1,0,3,smiled,laughed,danced,jumped up and down,yelled hurrah,sat quietly,read a book,laid on the couch,called his mom,watched tv,went to his room,cried,went home early,visited his mom,went to bed early,frowned,hit the wall,slammed the door,left early,yelled,screamed,jumped up,passed out,fainted,ran away,2,2,2,1,1,3,4,6,5,5,3,1,4,6,4,1,1,1,4,2,1,1,1,1,3,28394,32953,34059,23474,22755,28075,15870,19129,17900,15321
3,F,english,7,2,4,1,5,3,calm,angry,happy,surprised,sad,1,3,0,4,2,screamed,was in love,was nice,jumped for joy,smiled,exceeded,felt better,lived longer,impressed people,was happy,cried,yelled,screamed,was hurt,withrew from people,cried,hit the wall,screamed,made a mistake,said bad things,opened his mouth,held his head up,cried,though he was dreamibg,jumped,6,5,6,7,6,7,5,7,6,6,7,7,3,6,7,7,7,7,7,6,6,6,5,7,4,41727,23563,27433,50711,32099,16208,12061,10473,10610,11620
4,M,English,5,5,1,2,3,4,surprised,happy,calm,sad,angry,4,0,1,2,3,treated me to dinner,did not go to work,was in a good mood,gave out money,went on a shopping spree,was at peace,went to sleep,helped us out,was abducted by aliens,won the match,killed himself,smoked weed,got addicted to coke,sold porn,got divorced,killed himself,killed his wife,murdered his friend,hit his kid,jumped from the roof,had a heart attack,broke his foot,slipped on the pavement,was very happy,fainted,3,6,3,4,5,4,5,4,1,5,5,3,4,4,5,5,4,3,4,5,6,1,5,2,4,35547,28853,100204,19868,25024,14143,7795,9368,7992,7431
5,M,English,3,4,3,5,2,1,angry,sad,surprised,calm,happy,3,2,4,1,0,smiled,laughed,jumped for joy,fist pumped,called his friend,relaxed,smiled,sat down,breathed deeply,slept,cried,called his mom,took a walk,talked to a friend,went to church,threw a tantrum,sulked,yelled,threw a plate,slammed the door,yelled,shrieked,peed his pants,jumped,fell down,3,3,1,4,5,2,6,7,5,7,3,6,5,6,7,1,3,1,1,1,5,2,2,5,5,35278,33145,27146,19619,22363,19943,16312,17578,13544,12085
6,M,English,2,5,3,4,1,2,surprised,sad,angry,happy,calm,4,2,3,0,1,laughed,smiled,sang,danced,cheered,sat down,sighed,read a book,drank tea,went to sleep,cried,got quiet,left the room,shut his eyes,looked down,started a fight,breathed heavily,opened his eyes wide,yelled ,muttered profanities,left his mouth agape,fell down,threw his hands up,gasped,passed out,2,1,2,2,3,4,2,4,3,2,1,4,4,2,2,2,2,1,3,2,1,2,3,1,2,33932,25939,24112,15292,20900,19920,27077,21678,18389,18850
7,M,english,5,3,5,4,2,1,sad,surprised,angry,calm,happy,2,4,3,1,0,laughed,cried,started \whooping\,danced wildly,jumped up and down,never stirred,lay on the couch,yawned,never flinched,was very steady,cried,got angry,was mean,killed himself,lashed out,punched someone,killed someone,started crying,yelled loudly,stormed away,feinted,laughed,screamed,ran away,punched,3,2,1,1,1,5,6,5,2,3,5,3,5,1,2,1,1,3,3,3,1,5,1,2,2,30816,26439,32637,53715,22347,29425,27867,27348,37225,21252
8,M,English,2,2,5,1,3,4,calm,surprised,happy,sad,angry,1,4,0,2,3,smiled,laughed,helped,went,stayed,slept,rested,relaxed,smiled,laughed,cried,frowned,left,helped,stopped,yelled,screamed,turned red,cried,stomped,jumped,shouted,yelled,screamed,leaped,5,3,6,6,5,7,7,6,5,2,6,4,4,7,6,6,4,5,5,6,6,4,6,6,5,27363,19380,28076,68732,31601,23663,12373,10115,11883,9297
9,F,Vietnamese,2,5,1,4,2,3,surprised,happy,angry,calm,sad,4,0,3,1,2,smiled,laughed,jumped,giggled,fell over,sat quietly,gently smiled,went to sleep,turned off the lights,went outside,frowned,cried,shook his head,locked himself in his room,threw up,frowned,furrowed his eyebrows,punched James,beat up his dog,punched the wall,gasped,fell over,laughed,chuckled,fainted,5,6,5,5,3,5,5,6,5,6,3,2,5,5,5,3,5,2,2,2,3,2,6,6,3,26006,24143,29084,40183,61693,29182,22244,21579,17897,18674
10,M,english,5,3,4,5,1,2,sad,angry,surprised,happy,calm,2,3,4,0,1,smile,cried,high fived,smacked an ass,got laid,slept,watched tv,listened,built a model,drank a beer,cried,hit something,worked out,drank,drove,samshed something,worked out,fought someone,drank,broke a window,jumped,yelled out,got happy,peeled a potato,smacked and ass,2,3,5,3,2,3,6,4,2,6,4,3,6,6,7,1,7,2,7,1,2,3,5,2,3,24103,29206,33792,17513,25001,22034,21405,22829,23759,17823
