workerid,gender,nativeLanguage,exampleCounterfactual,actionID.1,actionID.2,actionID.3,actionID.4,actionID.5,actionID.6,actionID.7,actionID.8,actionID.9,actionID.10,actionID.11,actionID.12,actionID.13,actionID.14,actionID.15,action.1,action.2,action.3,action.4,action.5,action.6,action.7,action.8,action.9,action.10,action.11,action.12,action.13,action.14,action.15,order.1,order.2,order.3,order.4,order.5,order.6,order.7,order.8,order.9,order.10,order.11,order.12,order.13,order.14,order.15,freeResponsesOrdered.1,freeResponsesOrdered.2,freeResponsesOrdered.3,freeResponsesOrdered.4,freeResponsesOrdered.5,freeResponsesOrdered.6,freeResponsesOrdered.7,freeResponsesOrdered.8,freeResponsesOrdered.9,freeResponsesOrdered.10,freeResponsesOrdered.11,freeResponsesOrdered.12,freeResponsesOrdered.13,freeResponsesOrdered.14,freeResponsesOrdered.15,counterfactualJudgmentsOrdered.1,counterfactualJudgmentsOrdered.2,counterfactualJudgmentsOrdered.3,counterfactualJudgmentsOrdered.4,counterfactualJudgmentsOrdered.5,counterfactualJudgmentsOrdered.6,counterfactualJudgmentsOrdered.7,counterfactualJudgmentsOrdered.8,counterfactualJudgmentsOrdered.9,counterfactualJudgmentsOrdered.10,counterfactualJudgmentsOrdered.11,counterfactualJudgmentsOrdered.12,counterfactualJudgmentsOrdered.13,counterfactualJudgmentsOrdered.14,counterfactualJudgmentsOrdered.15,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,reactionTime.6
1,M,English,1,12,13,11,7,10,3,8,9,5,15,1,2,14,4,6,sat down,sighed,relaxed,slept,frowned,yelled,cursed,danced,laughed,punched the wall,cried,smiled,killed himself,jumped,screamed,11,12,10,6,9,2,7,8,4,14,0,1,13,3,5,he was upset,he was happy,he was upset,he was excited,he was feeling good,he was upset,he was tired,he was angry,he wanted to let go,he was upset,he needed a break,he was feeling tired,he was annoyed,he couldn't stand life,he was angry,2,1,2,4,5,4,2,2,3,2,5,6,5,3,4,17667,18736,14241,29112,18395,19705
2,M,english,2,6,14,12,1,3,5,4,11,10,13,9,15,2,7,8,screamed,killed himself,sat down,cried,yelled,laughed,jumped,relaxed,frowned,sighed,danced,punched the wall,smiled,slept,cursed,5,13,11,0,2,4,3,10,9,12,8,14,1,6,7,he was sad,he was in a good mood,he was angry,he was scared,something was funny,he was scared,he was tired,he was angry,he was happy,he was unhappy,he was tired,he was tired,he was bored,he was depressed,he was angry,3,4,4,4,4,2,6,3,6,5,2,4,2,2,2,23902,34946,22346,22714,14303,17972
3,F,english,3,8,13,14,12,9,2,4,7,11,3,15,6,10,5,1,cursed,sighed,killed himself,sat down,danced,smiled,jumped,slept,relaxed,yelled,punched the wall,screamed,frowned,laughed,cried,7,12,13,11,8,1,3,6,10,2,14,5,9,4,0,his dog died,he heard good news,someone cut him off in traffic,a loud sound frightened him,he found a joke funny,he saw a spider,he was tired,he stubbed his toe,he loved the song playing,he heard bad news,he had a stressful week,he was tired,his phone fell in the toilet,he was depressed,he had anger issues,1,5,2,1,4,2,2,2,2,3,4,5,1,1,1,30572,42072,35930,30509,27772,18627
4,F,English,7,5,10,4,15,11,3,2,14,8,9,7,6,1,12,13,laughed,frowned,jumped,punched the wall,relaxed,yelled,smiled,killed himself,cursed,danced,slept,screamed,cried,sat down,sighed,4,9,3,14,10,2,1,13,7,8,6,5,0,11,12,he lost his mother,his wife had on a new dress,his dog ran away,there was a spider,someone told a funny joke,he was watching football,he had the flu,he spilled his beer,he received a bonus at work,he hit his shin,he just got home from work,his ankle hurt,his team lost,he had depression,he was angry at his wife,1,5,1,1,3,1,7,2,1,1,6,7,5,1,1,37803,36620,26324,37158,24721,22208
5,M,English,2,2,4,10,14,11,9,6,1,15,5,13,3,7,12,8,smiled,jumped,frowned,killed himself,relaxed,danced,screamed,cried,punched the wall,laughed,sighed,yelled,slept,sat down,cursed,1,3,9,13,10,8,5,0,14,4,12,2,6,11,7,he stub his big toe,he just got a girls number,he was angry,was dodging a car,he saw a stand up comedian show,he saw a spooky ghost,he was tired,he broke his finger,he loves house music,his dog died,he got high as a kite,his feet hurt,he was tired,he could no longer feel happy in this world,he was on steroids,2,6,4,1,7,1,5,2,7,1,6,7,3,2,5,44326,44593,28185,32650,27950,27968
6,M,English,1,13,12,11,8,2,14,1,15,5,3,9,7,6,4,10,sighed,sat down,relaxed,cursed,smiled,killed himself,cried,punched the wall,laughed,yelled,danced,slept,screamed,jumped,frowned,12,11,10,7,1,13,0,14,4,2,8,6,5,3,9,George killed himself,he noticed a pretty woman smiling at him,Scott hasn't learned to use an indoor voice,he is Michael Jordan; and that is what Michael Jordan does,Jake punched the wall and hurt himself,like me; he is terrified easily,being a keystone cop is tiring work,he stubbed his toe,Gloria came into his life,the summer of George was ruined,he deserved a break from the stress of his everyday life,he had worked a long day,he was frustrated with Alice,no one reached out to help him when he showed signs of depression,he lost control of his temper,1,3,1,5,4,1,7,1,4,6,4,6,3,1,1,44163,58080,47720,26687,27193,27435
7,F,English,2,5,7,11,10,14,12,8,4,13,9,2,1,15,3,6,laughed,slept,relaxed,frowned,killed himself,sat down,cursed,jumped,sighed,danced,smiled,cried,punched the wall,yelled,screamed,4,6,10,9,13,11,7,3,12,8,1,0,14,2,5,the movie was sad,he got what he wanted,he was frustrated,he got startled,he heard a joke,he got scared,she was tired,the driver made him mad,he felt good,he didn't like what he heard,he had the day off,his feet hurt,he was tired of explaining the same thing over and over again,he thought there was no other way to deal with his problems.,he couldn't deal with his anger,2,6,3,3,3,1,1,5,3,2,4,6,4,1,1,62492,44864,52939,24822,31728,38488
8,F,English,2,10,14,9,6,1,8,11,2,12,4,13,5,15,7,3,frowned,killed himself,danced,screamed,cried,cursed,relaxed,smiled,sat down,jumped,sighed,laughed,punched the wall,slept,yelled,9,13,8,5,0,7,10,1,11,3,12,4,14,6,2,he felt hurt\n,he was happy,he was mad\nhe was mad,he was startled,he found something funny,he was terrifed,he was tired,he was angry,he had to,he was sad,he felt comfortable,he was tired,he was annoyed,there was nothing left to live for,he was angry,1,1,4,4,2,2,2,5,2,4,2,6,6,2,1,22751,27507,25771,17777,15658,21881
9,F,English,3,12,14,15,6,13,10,8,2,7,1,5,3,4,11,9,sat down,killed himself,punched the wall,screamed,sighed,frowned,cursed,smiled,slept,cried,laughed,yelled,jumped,relaxed,danced,11,13,14,5,12,9,7,1,6,0,4,2,3,10,8,he was sad,he was happy,he was angry,something scared him,the joke was funny,he was scared,he was tired,he was angry,he liked the song,he was sad,he had the day off,he was tired,he was bored,he was depressed,he was angry,4,3,4,6,3,4,4,6,5,5,5,6,5,2,2,30813,18720,31702,29034,20867,21037
10,M,English,1,11,4,6,9,15,1,2,13,5,7,10,8,3,12,14,relaxed,jumped,screamed,danced,punched the wall,cried,smiled,sighed,laughed,slept,frowned,cursed,yelled,sat down,killed himself,10,3,5,8,14,0,1,12,4,6,9,7,2,11,13,he was sad,he was happy,he was mad,he was excited,he heard a joke,he was scared,he was tired,he was angry,he was drunk,he was unhappy,he was tired,he was tired of standing,he was annoyed,he was suicidal,he was angry,1,2,4,2,4,2,1,5,4,2,5,2,5,1,1,25184,22533,27143,26703,15728,19009
11,M,Spanish,6,5,1,12,7,10,4,14,9,6,15,2,3,11,13,8,laughed,cried,sat down,slept,frowned,jumped,killed himself,danced,screamed,punched the wall,smiled,yelled,relaxed,sighed,cursed,4,0,11,6,9,3,13,8,5,14,1,2,10,12,7,of a song that brings back memories.,he read a text from his wife.,he was asked to.,he saw a doh.,of a joke he heard.,he saw a angry dog.,he had a long day.,he had enough.,he was in the mood.,he saw someone he didn't want to.,he arrived back home.,he is tired.,he has to put up with clients.,he lost the love of his life.,he had to let off some steam.,2,6,3,4,4,1,7,4,4,5,6,7,7,4,4,36913,37301,40392,29429,29455,24871
