workerid,gender,age,nativeLanguage,browser,browserVersion,browserOS,behaviorID.1,behaviorID.2,behaviorID.3,behaviorID.4,behaviorID.5,behaviorID.6,behaviorID.7,behaviorID.8,behaviorID.9,behaviorID.10,behaviorID.11,behaviorID.12,behaviorID.13,behaviorID.14,behaviorID.15,behaviorID.16,behaviorID.17,behaviorID.18,behaviorID.19,behaviorID.20,behaviorType.1,behaviorType.2,behaviorType.3,behaviorType.4,behaviorType.5,behaviorType.6,behaviorType.7,behaviorType.8,behaviorType.9,behaviorType.10,behaviorType.11,behaviorType.12,behaviorType.13,behaviorType.14,behaviorType.15,behaviorType.16,behaviorType.17,behaviorType.18,behaviorType.19,behaviorType.20,behavior.1,behavior.2,behavior.3,behavior.4,behavior.5,behavior.6,behavior.7,behavior.8,behavior.9,behavior.10,behavior.11,behavior.12,behavior.13,behavior.14,behavior.15,behavior.16,behavior.17,behavior.18,behavior.19,behavior.20,order.1,order.2,order.3,order.4,order.5,order.6,order.7,order.8,order.9,order.10,order.11,order.12,order.13,order.14,order.15,order.16,order.17,order.18,order.19,order.20,likelihoodRatingsDesireRaw.1,likelihoodRatingsDesireRaw.2,likelihoodRatingsDesireRaw.3,likelihoodRatingsDesireRaw.4,likelihoodRatingsDesireRaw.5,likelihoodRatingsDesireRaw.6,likelihoodRatingsDesireRaw.7,likelihoodRatingsDesireRaw.8,likelihoodRatingsDesireRaw.9,likelihoodRatingsDesireRaw.10,likelihoodRatingsDesireRaw.11,likelihoodRatingsDesireRaw.12,likelihoodRatingsDesireRaw.13,likelihoodRatingsDesireRaw.14,likelihoodRatingsDesireRaw.15,likelihoodRatingsDesireRaw.16,likelihoodRatingsDesireRaw.17,likelihoodRatingsDesireRaw.18,likelihoodRatingsDesireRaw.19,likelihoodRatingsDesireRaw.20,likelihoodRatingsBeliefRaw.1,likelihoodRatingsBeliefRaw.2,likelihoodRatingsBeliefRaw.3,likelihoodRatingsBeliefRaw.4,likelihoodRatingsBeliefRaw.5,likelihoodRatingsBeliefRaw.6,likelihoodRatingsBeliefRaw.7,likelihoodRatingsBeliefRaw.8,likelihoodRatingsBeliefRaw.9,likelihoodRatingsBeliefRaw.10,likelihoodRatingsBeliefRaw.11,likelihoodRatingsBeliefRaw.12,likelihoodRatingsBeliefRaw.13,likelihoodRatingsBeliefRaw.14,likelihoodRatingsBeliefRaw.15,likelihoodRatingsBeliefRaw.16,likelihoodRatingsBeliefRaw.17,likelihoodRatingsBeliefRaw.18,likelihoodRatingsBeliefRaw.19,likelihoodRatingsBeliefRaw.20,likelihoodRatingsEmotionRaw.1,likelihoodRatingsEmotionRaw.2,likelihoodRatingsEmotionRaw.3,likelihoodRatingsEmotionRaw.4,likelihoodRatingsEmotionRaw.5,likelihoodRatingsEmotionRaw.6,likelihoodRatingsEmotionRaw.7,likelihoodRatingsEmotionRaw.8,likelihoodRatingsEmotionRaw.9,likelihoodRatingsEmotionRaw.10,likelihoodRatingsEmotionRaw.11,likelihoodRatingsEmotionRaw.12,likelihoodRatingsEmotionRaw.13,likelihoodRatingsEmotionRaw.14,likelihoodRatingsEmotionRaw.15,likelihoodRatingsEmotionRaw.16,likelihoodRatingsEmotionRaw.17,likelihoodRatingsEmotionRaw.18,likelihoodRatingsEmotionRaw.19,likelihoodRatingsEmotionRaw.20,likelihoodRatingsSituationRaw.1,likelihoodRatingsSituationRaw.2,likelihoodRatingsSituationRaw.3,likelihoodRatingsSituationRaw.4,likelihoodRatingsSituationRaw.5,likelihoodRatingsSituationRaw.6,likelihoodRatingsSituationRaw.7,likelihoodRatingsSituationRaw.8,likelihoodRatingsSituationRaw.9,likelihoodRatingsSituationRaw.10,likelihoodRatingsSituationRaw.11,likelihoodRatingsSituationRaw.12,likelihoodRatingsSituationRaw.13,likelihoodRatingsSituationRaw.14,likelihoodRatingsSituationRaw.15,likelihoodRatingsSituationRaw.16,likelihoodRatingsSituationRaw.17,likelihoodRatingsSituationRaw.18,likelihoodRatingsSituationRaw.19,likelihoodRatingsSituationRaw.20,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,reactionTime.6,reactionTime.7,reactionTime.8,reactionTime.9,reactionTime.10,reactionTime.11,reactionTime.12,reactionTime.13,reactionTime.14,reactionTime.15,reactionTime.16,reactionTime.17,reactionTime.18,reactionTime.19,reactionTime.20
1,M,35,English,Chrome,47,Windows,16,13,12,2,6,9,19,20,10,8,18,4,11,3,14,17,7,5,15,1,unintentional,unintentional,expressions,intentional,intentional,expressions,ambiguous,ambiguous,expressions,expressions,ambiguous,intentional,expressions,intentional,unintentional,unintentional,expressions,intentional,unintentional,intentional,snored in his sleep,fell down,danced,bought a drink,watered his new plants,yelled loudly,ignored Greg's arguments,interrupted his mother,jumped up and down,cried,drove above the speed limit,stole a pound of peaches,laughed,bought a round of drinks for everyone,won the lottery,stubbed his toe,smiled,invited Sue to have lunch,yawned during a lecture,read a book,15,12,11,1,5,8,18,19,9,7,17,3,10,2,13,16,6,4,14,0,1,2,0,0,55,45,39,22,19,17,0,5,2,25,0,0,0,0,8,63,0,1,0,0,51,5,2,1,0,17,0,4,2,26,0,0,1,0,9,4,1,0,0,0,0,47,38,42,97,96,0,5,85,53,0,0,100,0,7,4,62,77,70,59,56,71,75,85,18,15,94,3,34,80,100,100,100,100,65,4,13830,30700,7302,7912,7583,7215,5139,7631,6031,6144,9055,5224,6048,6944,5727,5855,6375,5267,5223,4047
2,F,25,English,Chrome,47,Windows,12,16,17,3,15,13,11,9,10,14,4,8,20,5,18,1,19,7,6,2,expressions,unintentional,unintentional,intentional,unintentional,unintentional,expressions,expressions,expressions,unintentional,intentional,expressions,ambiguous,intentional,ambiguous,intentional,ambiguous,expressions,intentional,intentional,danced,snored in his sleep,stubbed his toe,bought a round of drinks for everyone,yawned during a lecture,fell down,laughed,yelled loudly,jumped up and down,won the lottery,stole a pound of peaches,cried,interrupted his mother,invited Sue to have lunch,drove above the speed limit,read a book,ignored Greg's arguments,smiled,watered his new plants,bought a drink,11,15,16,2,14,12,10,8,9,13,3,7,19,4,17,0,18,6,5,1,70,9,7,91,6,7,8,5,6,66,93,5,90,68,7,95,5,10,95,6,15,9,7,56,6,5,8,6,5,3,5,69,4,3,5,4,6,5,6,5,82,10,7,92,6,4,94,95,6,3,93,94,79,4,6,4,94,96,7,6,12,89,94,7,93,94,69,6,96,94,4,74,5,90,93,6,7,69,94,93,19896,7263,7380,9778,7017,8415,10360,9349,5790,9496,8277,8753,7606,12063,10004,7806,6825,7503,6897,9493
3,F,35,English,Chrome,47,Windows,13,18,17,16,1,5,3,9,2,20,4,7,19,6,11,8,15,10,12,14,unintentional,ambiguous,unintentional,unintentional,intentional,intentional,intentional,expressions,intentional,ambiguous,intentional,expressions,ambiguous,intentional,expressions,expressions,unintentional,expressions,expressions,unintentional,fell down,drove above the speed limit,stubbed his toe,snored in his sleep,read a book,invited Sue to have lunch,bought a round of drinks for everyone,yelled loudly,bought a drink,interrupted his mother,stole a pound of peaches,smiled,ignored Greg's arguments,watered his new plants,laughed,cried,yawned during a lecture,jumped up and down,danced,won the lottery,12,17,16,15,0,4,2,8,1,19,3,6,18,5,10,7,14,9,11,13,2,98,1,0,83,77,54,32,4,1,93,60,55,89,56,60,1,50,80,82,0,53,1,0,55,53,13,1,0,63,29,2,79,1,5,0,1,2,0,2,54,81,0,0,82,86,87,99,55,81,55,100,59,57,92,98,94,100,58,3,99,81,100,100,62,86,83,100,61,63,94,71,77,89,93,92,93,87,93,100,20662,13899,9735,10512,14308,11581,14339,9881,22257,10868,11256,10843,11822,12028,10568,9039,10055,7985,9822,11968
4,M,35,English,Chrome,47,Windows,8,4,16,7,1,20,11,2,6,19,18,14,9,13,5,10,15,3,12,17,expressions,intentional,unintentional,expressions,intentional,ambiguous,expressions,intentional,intentional,ambiguous,ambiguous,unintentional,expressions,unintentional,intentional,expressions,unintentional,intentional,expressions,unintentional,cried,stole a pound of peaches,snored in his sleep,smiled,read a book,interrupted his mother,laughed,bought a drink,watered his new plants,ignored Greg's arguments,drove above the speed limit,won the lottery,yelled loudly,fell down,invited Sue to have lunch,jumped up and down,yawned during a lecture,bought a round of drinks for everyone,danced,stubbed his toe,7,3,15,6,0,19,10,1,5,18,17,13,8,12,4,9,14,2,11,16,2,4,1,4,73,35,5,3,90,2,80,2,4,2,44,3,1,61,2,1,59,49,1,15,30,6,46,6,3,53,3,1,4,2,67,3,31,3,1,2,95,6,1,91,3,51,89,38,3,51,3,1,87,2,73,77,71,61,89,3,29,35,93,36,31,51,21,69,70,57,48,96,35,98,46,4,48,54,78,98,18807,12757,9623,13645,7329,9190,11729,7509,9746,11967,8743,7587,7151,7171,8147,8758,9060,10995,6378,12267
5,F,45,English,Chrome,47,Windows,19,12,7,9,15,13,8,5,20,6,2,4,18,3,16,10,14,1,11,17,ambiguous,expressions,expressions,expressions,unintentional,unintentional,expressions,intentional,ambiguous,intentional,intentional,intentional,ambiguous,intentional,unintentional,expressions,unintentional,intentional,expressions,unintentional,ignored Greg's arguments,danced,smiled,yelled loudly,yawned during a lecture,fell down,cried,invited Sue to have lunch,interrupted his mother,watered his new plants,bought a drink,stole a pound of peaches,drove above the speed limit,bought a round of drinks for everyone,snored in his sleep,jumped up and down,won the lottery,read a book,laughed,stubbed his toe,18,11,6,8,14,12,7,4,19,5,1,3,17,2,15,9,13,0,10,16,28,55,28,18,3,2,18,61,18,98,33,6,100,26,1,14,22,65,16,1,27,10,74,18,5,2,30,3,58,2,10,7,1,30,1,44,2,10,72,2,72,54,79,88,4,2,95,4,58,2,3,6,1,17,2,43,2,4,73,2,44,90,62,74,99,97,66,62,44,23,71,99,97,87,96,35,99,18,68,98,12604,7353,7416,9909,7685,5565,5669,6430,7088,8171,6274,7244,7949,6201,6413,6586,7305,6618,6198,13236
6,M,35,American English,Chrome,44,Windows,15,4,17,7,12,9,5,13,8,1,18,16,20,3,11,6,10,19,2,14,unintentional,intentional,unintentional,expressions,expressions,expressions,intentional,unintentional,expressions,intentional,ambiguous,unintentional,ambiguous,intentional,expressions,intentional,expressions,ambiguous,intentional,unintentional,yawned during a lecture,stole a pound of peaches,stubbed his toe,smiled,danced,yelled loudly,invited Sue to have lunch,fell down,cried,read a book,drove above the speed limit,snored in his sleep,interrupted his mother,bought a round of drinks for everyone,laughed,watered his new plants,jumped up and down,ignored Greg's arguments,bought a drink,won the lottery,14,3,16,6,11,8,4,12,7,0,17,15,19,2,10,5,9,18,1,13,8,80,9,39,36,78,77,2,6,95,77,4,42,45,19,95,26,51,97,5,3,18,2,14,3,6,20,7,3,8,14,2,8,51,9,8,6,30,9,6,2,24,10,91,65,39,13,8,82,16,29,3,41,33,82,4,68,63,34,6,83,25,84,54,34,38,53,81,37,30,67,94,76,29,64,26,36,15,73,92,19718,12532,8612,7713,14367,10088,12016,12170,15531,8421,9470,7297,7096,8197,6817,8417,9520,9290,9422,16135
7,M,35,English,Chrome,47,Windows,4,14,19,20,3,11,13,10,5,7,18,1,17,8,2,12,9,16,6,15,intentional,unintentional,ambiguous,ambiguous,intentional,expressions,unintentional,expressions,intentional,expressions,ambiguous,intentional,unintentional,expressions,intentional,expressions,expressions,unintentional,intentional,unintentional,stole a pound of peaches,won the lottery,ignored Greg's arguments,interrupted his mother,bought a round of drinks for everyone,laughed,fell down,jumped up and down,invited Sue to have lunch,smiled,drove above the speed limit,read a book,stubbed his toe,cried,bought a drink,danced,yelled loudly,snored in his sleep,watered his new plants,yawned during a lecture,3,13,18,19,2,10,12,9,4,6,17,0,16,7,1,11,8,15,5,14,100,100,74,84,27,9,0,35,77,11,75,82,0,8,100,23,63,0,100,0,0,66,83,72,78,70,2,30,59,56,57,22,0,43,0,28,30,0,0,22,33,36,54,72,48,100,2,78,31,100,54,31,0,100,0,57,67,0,0,64,78,35,17,7,29,51,100,25,18,32,12,14,100,24,0,21,45,100,74,39,16074,12751,22231,10093,15738,6716,8796,14924,7202,22336,6134,6622,5055,6541,5414,5299,7864,7577,60704,5031
8,M,25,english,Chrome,47,Windows,14,13,11,6,7,1,15,20,16,12,10,2,5,18,8,3,19,17,9,4,unintentional,unintentional,expressions,intentional,expressions,intentional,unintentional,ambiguous,unintentional,expressions,expressions,intentional,intentional,ambiguous,expressions,intentional,ambiguous,unintentional,expressions,intentional,won the lottery,fell down,laughed,watered his new plants,smiled,read a book,yawned during a lecture,interrupted his mother,snored in his sleep,danced,jumped up and down,bought a drink,invited Sue to have lunch,drove above the speed limit,cried,bought a round of drinks for everyone,ignored Greg's arguments,stubbed his toe,yelled loudly,stole a pound of peaches,13,12,10,5,6,0,14,19,15,11,9,1,4,17,7,2,18,16,8,3,33,40,62,46,88,47,36,48,82,55,58,63,41,36,69,50,48,21,80,39,17,67,41,28,57,37,77,38,79,22,35,52,28,21,64,34,31,37,58,42,85,23,87,71,32,71,20,72,28,85,79,35,60,74,21,69,73,74,41,68,68,87,24,63,65,88,85,61,53,27,89,46,50,53,48,82,61,38,55,85,4883,4199,2927,3130,2940,3482,4571,5387,4056,4872,3419,2881,12695,3337,4318,3732,3587,3600,2795,3095
9,F,55,English,Chrome,47,Windows,7,18,2,12,20,3,10,1,16,4,6,14,9,17,13,5,19,15,11,8,expressions,ambiguous,intentional,expressions,ambiguous,intentional,expressions,intentional,unintentional,intentional,intentional,unintentional,expressions,unintentional,unintentional,intentional,ambiguous,unintentional,expressions,expressions,smiled,drove above the speed limit,bought a drink,danced,interrupted his mother,bought a round of drinks for everyone,jumped up and down,read a book,snored in his sleep,stole a pound of peaches,watered his new plants,won the lottery,yelled loudly,stubbed his toe,fell down,invited Sue to have lunch,ignored Greg's arguments,yawned during a lecture,laughed,cried,6,17,1,11,19,2,9,0,15,3,5,13,8,16,12,4,18,14,10,7,47,61,26,25,50,44,34,62,3,67,95,97,55,0,2,77,60,1,33,22,45,34,18,14,17,41,48,6,3,23,15,11,53,1,0,9,77,2,16,42,100,34,35,81,99,94,97,8,3,23,14,10,96,1,2,84,82,49,88,97,92,93,95,90,77,84,77,38,81,77,66,82,75,99,96,82,76,94,72,67,45327,15548,14511,13348,10719,15868,11177,11607,8848,11291,25263,8839,8829,11475,11260,25265,11482,11174,11175,11121
10,M,35,English,Chrome,47,Windows,15,1,13,2,17,12,14,10,4,19,5,20,6,8,18,7,9,16,3,11,unintentional,intentional,unintentional,intentional,unintentional,expressions,unintentional,expressions,intentional,ambiguous,intentional,ambiguous,intentional,expressions,ambiguous,expressions,expressions,unintentional,intentional,expressions,yawned during a lecture,read a book,fell down,bought a drink,stubbed his toe,danced,won the lottery,jumped up and down,stole a pound of peaches,ignored Greg's arguments,invited Sue to have lunch,interrupted his mother,watered his new plants,cried,drove above the speed limit,smiled,yelled loudly,snored in his sleep,bought a round of drinks for everyone,laughed,14,0,12,1,16,11,13,9,3,18,4,19,5,7,17,6,8,15,2,10,0,95,0,100,0,92,100,18,55,91,91,76,97,3,96,61,100,0,96,9,3,93,0,11,1,14,29,63,75,77,7,35,1,58,7,31,4,0,5,3,2,69,22,83,0,81,0,100,7,100,55,76,0,100,16,92,99,0,84,91,100,77,100,100,100,100,70,100,85,92,57,90,82,100,96,100,100,75,95,100,22291,16417,10322,13104,9697,11369,15608,13081,14746,14226,14380,14387,9273,10509,12426,21047,11259,11783,8204,15180
11,F,65,English,Firefox,43,Windows,20,14,11,7,16,9,13,15,12,3,4,17,2,5,18,19,10,1,8,6,ambiguous,unintentional,expressions,expressions,unintentional,expressions,unintentional,unintentional,expressions,intentional,intentional,unintentional,intentional,intentional,ambiguous,ambiguous,expressions,intentional,expressions,intentional,interrupted his mother,won the lottery,laughed,smiled,snored in his sleep,yelled loudly,fell down,yawned during a lecture,danced,bought a round of drinks for everyone,stole a pound of peaches,stubbed his toe,bought a drink,invited Sue to have lunch,drove above the speed limit,ignored Greg's arguments,jumped up and down,read a book,cried,watered his new plants,19,13,10,6,15,8,12,14,11,2,3,16,1,4,17,18,9,0,7,5,51,100,1,3,1,6,2,1,17,98,78,2,3,99,79,39,29,59,2,73,50,1,4,3,1,5,3,16,2,1,47,1,2,51,9,70,1,44,12,2,100,1,100,99,1,99,3,49,10,100,49,1,3,97,52,70,75,46,97,25,16,51,100,100,100,100,100,66,91,98,79,99,98,99,79,73,84,55,99,98,33151,13539,17147,11350,8984,18036,7071,20807,14062,16767,14214,9261,12841,14330,15703,11621,25567,9136,10083,11989
12,M,25,English,Chrome,47,Windows,18,8,20,13,10,17,14,6,16,19,9,2,3,11,1,5,4,12,15,7,ambiguous,expressions,ambiguous,unintentional,expressions,unintentional,unintentional,intentional,unintentional,ambiguous,expressions,intentional,intentional,expressions,intentional,intentional,intentional,expressions,unintentional,expressions,drove above the speed limit,cried,interrupted his mother,fell down,jumped up and down,stubbed his toe,won the lottery,watered his new plants,snored in his sleep,ignored Greg's arguments,yelled loudly,bought a drink,bought a round of drinks for everyone,laughed,read a book,invited Sue to have lunch,stole a pound of peaches,danced,yawned during a lecture,smiled,17,7,19,12,9,16,13,5,15,18,8,1,2,10,0,4,3,11,14,6,54,50,56,47,65,64,59,79,54,24,56,73,57,71,61,70,74,65,68,54,51,70,44,56,79,58,51,69,56,21,52,65,58,57,54,65,63,55,62,48,63,50,72,51,57,76,67,65,49,34,66,84,79,82,72,82,83,76,81,64,52,56,59,63,65,63,75,83,54,23,56,71,66,70,62,69,73,63,68,54,2862,3002,4804,6742,3153,4660,3805,4018,3306,4206,3734,4441,4363,3930,3832,4787,4722,4136,4961,4683
